"","Country","GDP_2019","GDP_2020","pop_2019","pop_2020","unemployment_2019","unemployment_2020"
"6779","Slovak Republic",94.437,"93.414",5.45,"5.458",5.733,"6.617"
"6823","Slovenia",48.533,"47.021",2.081,"2.096",4.45,"5"
"6867","Solomon Islands",13.234,"12.617",0.67,"0.687",NA,""
"6911","Somalia",6.485,"6.883",14.373,"14.775",NA,""
"6955","South Africa",NA,"5,556.92",58.775,"59.622",28.7,"29.175"
"6999","South Sudan",639.088,"887.941",13.378,"13.779",NA,""
"7043","Spain",NA,"1,117.99",47.105,"47.356",14.105,"15.533"
"7087","Sri Lanka",NA,"15,840.16",21.803,"21.919",4.8,"5.5"
"7131","St. Kitts and Nevis",2.991,"2.388",0.057,"0.057",NA,""
"7175","St. Lucia",5.654,"4.093",0.18,"0.181",NA,""
"7219","St. Vincent and the Grenadines",2.459,"2.347",0.111,"0.111",NA,""
"7263","Sudan",NA,"5,173.85",43.222,"44.345",22.1,"26.83"
"7307","Suriname",31.483,"38.353",0.598,"0.603",8.809,"11.147"
"7351","Sweden",NA,"5,038.54",10.328,"10.379",6.975,"8.542"
"7395","Switzerland",717.283,"693.915",8.545,"8.606",2.306,"3.17"
"7439","Syria",NA,NA,NA,NA,NA,NA
"7483","Taiwan Province of China",NA,"19,914.81",23.603,"23.561",3.73,"3.85"
"7527","Tajikistan",79.11,"83.958",9.292,"9.475",NA,NA
"7571","Tanzania",NA,"151,166.38",56.322,"58.001",NA,""
"7615","Thailand",NA,"15,661.15",69.626,"69.8",1,"2"
"7659","Timor-Leste",1.684,"1.577",1.293,"1.318",NA,""
"7703","Togo",NA,"4,359.85",8.245,"8.449",NA,""
"7747","Tonga",1.163,"1.12",0.1,"0.1",NA,""
"7791","Trinidad and Tobago",161.088,"142.173",1.395,"1.399",NA,""
"7835","Tunisia",122.969,"119.633",11.783,"11.903",14.889,"17.4"
"7879","Türkiye",NA,"5,048.22",83.155,"83.614",13.731,"13.147"
"7923","Turkmenistan",185.363,"186.179",5.939,"6.061",NA,""
"7967","Tuvalu",0.078,"0.075",0.011,"0.011",NA,""
"8011","Uganda",NA,"141,537.00",39.823,"41.222",NA,""
"8055","Ukraine",NA,"4,222.03",41.733,"41.419",8.5,"9.15"
"8099","United Arab Emirates",NA,"1,283.44",9.504,"9.282",NA,""
"8143","United Kingdom",NA,"2,109.59",66.797,"67.081",3.825,"4.55"
"8187","United States",NA,"21,060.45",328.547,"331.257",3.683,"8.092"
"8231","Uruguay",NA,"2,250.27",3.519,"3.531",8.925,"10.35"
"8275","Uzbekistan",NA,"605,514.90",33.256,"33.905",8.976,"10.531"
"8319","Vanuatu",107.45,"104.929",0.292,"0.302",NA,""
"8363","Venezuela",1.006,"14.323",27.817,"27.951",NA,NA
"8407","Vietnam",NA,"8,044,385.73",96.484,"97.583",2.17,"2.48"
"8451","West Bank and Gaza",61.073,"53.466",4.977,"5.101",25.35,"25.925"
"8495","Yemen",NA,"13,651.05",31.166,"31.927",NA,""
"8539","Zambia",300.449,"332.223",18.38,"18.928",NA,""
"8583","Zimbabwe",212.173,"1,378.80",14.905,"15.189",NA,""
