"","Country","hf_score_2019","hf_rank_2019","pf_religion_2019","pf_expression_2019","ef_score_2019","pf_ss_2019","hf_score_2020","hf_rank_2020","pf_religion_2020","pf_expression_2020","ef_score_2020","pf_ss_2020"
"67","Hong Kong SAR, China",8.38,32,8.54625,7.063,8.87,9.36923837209302,8.01,34,7.76125,6.70338888888889,8.59,9.4225988372093
"68","Hungary",7.63,60,8.21354166666667,5.73542222222222,7.51,9.60906976744186,7.21,67,8.23104166666667,5.71732222222222,7.24,9.62739617940199
"69","Iceland",8.84,10,9.780625,8.964625,7.91,9.91892026578073,8.64,7,9.82625,8.99741666666667,7.73,9.76294435215947
"70","India",6.42,113,5.31770833333333,5.64173261205901,6.76,8.23965463247013,6.3,112,5.88583333333333,5.5929079488208,6.72,8.17872746952753
"71","Indonesia",6.98,86,6.07333333333333,7.31761111111111,7.26,9.36198416784174,6.74,85,5.75645833333333,7.31077777777778,7.09,9.34626988212745
"72","Iran, Islamic Rep.",4.27,161,3.46458333333333,1.85052222222222,5.02,7.66537146396226,4.26,162,3.70458333333333,1.72872514097989,4.96,7.66371353390664
"73","Iraq",5.12,154,7.13416666666667,3.43874039582328,5.41,4.14280531968007,4.77,157,5.60395833333333,3.23510235536193,5.51,4.05642701467615
"74","Ireland",8.95,4,9.625625,9.81620833333333,8.19,9.65164867109634,8.7,5,9.81,9.850875,7.86,9.8339950166113
"75","Israel",7.61,61,9.2225,5.84435790720792,7.63,8.29110033739553,7.36,62,9.200625,5.85789957387459,7.35,8.10924190468765
"76","Italy",8.43,29,9.00041666666667,8.20608333333333,7.61,9.72614712055643,8.02,33,9.00416666666667,8.20304166666667,7.4,9.74127170527404
"77","Jamaica",7.9,51,9.849375,9.75256666666667,7.61,4.53267857142857,7.53,53,9.839375,9.74013333333333,7.38,4.54178571428571
"78","Japan",8.75,16,9.56375,8.85904166666667,7.97,9.87339505920424,8.39,16,9.675,8.900375,7.82,9.87589505920423
"79","Jordan",6.71,101,5.54083333333333,4.7913,7.51,9.04931914923914,6.39,108,4.84958333333333,4.52440993466485,7.37,9.05474273727901
"80","Kazakhstan",6.63,106,4.39145833333333,2.75994642695302,7.6,8.30810721971318,6.46,107,4.46458333333333,2.67277910352328,7.35,8.51330240243743
"81","Kenya",6.57,109,7.40270833333333,5.96078019831781,7,7.52748831338751,6.58,100,7.51833333333333,6.06992222222222,6.96,7.63257612837553
"82","Korea, Rep.",8.31,35,9.886875,8.07268888888889,7.62,9.65926910299003,8.11,30,9.89,8.01855555555555,7.42,9.66332641196013
"83","Kuwait",6.2,118,5.77770833333333,4.29282801878348,6.74,9.09536868034592,6.25,113,5.88520833333333,4.92823333333333,6.73,9.08983296606021
"84","Kyrgyz Republic",7.02,83,6.99666666666667,5.08141111111111,7.17,8.57755398671096,6.7,87,7.03229166666667,5.02244444444444,6.97,8.53630398671096
"85","Lao PDR",5.68,137,4.51645833333333,2.33226666666667,6.65,7.61128583076746,5.44,146,4.48895833333333,2.37406666666667,6.5,7.64057154505317
"86","Latvia",8.62,22,9.703125,8.24522222222222,7.94,9.33306478405316,8.42,15,9.714375,8.15828888888889,7.77,9.55262873754153
"87","Lebanon",6.67,104,8.62916666666667,5.66368015490853,6.85,8.04230998521311,5.98,121,8.69416666666667,5.72004682157519,5.45,8.20208573272142
"88","Lesotho",7,85,9.763125,6.25057777777778,6.46,4.02428571428571,6.8,81,9.751875,6.21267777777778,6.52,4.17589285714286
"89","Liberia",6.6,107,8.40854166666667,7.23213333333333,6.16,8.96539025893363,6.62,94,8.41666666666667,7.16963333333333,6.51,9.04539025893363
"90","Libya",4.72,158,4.87395833333333,3.91903333333333,4.47,5.60892154948981,4.95,155,4.99583333333333,3.9483,4.95,5.5971358352041
"91","Lithuania",8.72,19,9.74875,8.86941111111111,8.22,9.4275,8.34,17,9.781875,8.34477777777778,7.82,9.3875415282392
"92","Luxembourg",8.85,7,9.6725,9.71733333333333,7.89,9.73781492248062,8.53,10,9.7675,9.74666666666667,7.54,9.87236918604651
"93","Madagascar",6.86,92,8.34291666666667,5.67253333333333,6.32,8.24702341381971,6.47,105,8.30041666666667,5.66873333333333,6.1,8.23738055667685
"94","Malawi",6.92,89,9.464375,7.09233333333333,5.94,9.02908637873754,6.89,79,9.50875,7.1237,5.98,9.1899792358804
"95","Malaysia",7.08,81,7.23166666666667,7.27647777777778,7.52,8.92054333708536,6.78,82,6.98041666666667,6.57474444444444,7.35,8.94697190851394
"96","Mali",6.19,119,9.0575,6.83231111111111,5.9,4.54470033557325,6.01,119,9.048125,6.51968117775393,5.85,4.51684319271611
"97","Malta",8.43,29,9.7575,6.61658333333333,8.02,9.47242732558139,8.2,24,9.71875,6.63325,7.72,9.57514534883721
"98","Mauritania",5.56,142,4.81208333333333,5.14384444444445,6.55,7.8439161060782,5.54,138,7.06354166666667,5.03744444444444,6.13,7.69445182036392
"99","Mauritius",8.02,43,8.76416666666667,7.79526666666667,8.2,9.39920265780731,7.63,50,8.76729166666667,7.58723333333333,7.88,9.21009551495016
"100","Mexico",6.8,95,8.31791666666667,5.80630936629742,7.2,4.17791375415666,6.6,98,8.31729166666667,5.7971303369671,7.12,4.23454996678124
"101","Moldova",7.6,62,7.99041666666667,6.87507777777778,7.32,8.76604651162791,7.46,59,8.17666666666667,6.87661111111111,7.05,8.77265365448505
"102","Mongolia",7.97,44,8.68416666666667,7.73073333333333,7.42,8.78986710963455,7.62,51,8.55541666666667,7.72363333333333,7.3,8.87527823920266
"103","Montenegro",7.91,49,8.12166666666667,5.68817777777778,7.63,8.87552325581395,7.45,60,7.15291666666667,5.05921111111111,7.46,9.09302740863787
"104","Morocco",5.68,137,3.60458333333333,3.87663157458529,6.74,9.04017857142857,5.55,136,3.34020833333333,3.66124444444444,6.55,9.03653239202658
"105","Mozambique",6.77,98,8.70916666666667,5.57776666666667,6.47,7.02922547777245,6.62,94,8.69729166666667,5.5456,6.27,6.79285078958584
"106","Myanmar",5.4,149,5.62333333333333,4.41540947710605,5.56,7.43206012714696,5.56,135,5.62083333333333,4.6824239117163,5.93,7.02844427309256
"107","Namibia",7.57,63,9.55,8.52198888888889,6.75,7.00071843853821,7.49,58,9.835,8.59825555555556,6.57,7.84137043189369
"108","Nepal",7.01,84,8.29604166666667,6.59308888888889,6.73,9.03565405691604,6.77,84,8.08291666666667,6.60395411836689,6.54,8.98601119977318
"109","Netherlands",8.8,13,9.635625,9.665875,7.96,9.79364794304284,8.55,9,9.66625,9.602625,7.75,9.79726920550131
"110","New Zealand",9.04,2,9.89125,9.77666666666667,8.56,8.50353773308868,8.75,2,9.895625,9.74104166666667,8.27,8.50443059023154
"111","Nicaragua",6.13,123,5.34333333333333,3.85593303680445,7.04,7.14092607973422,5.96,123,5.63333333333333,3.79813303680445,6.84,7.12592607973422
"112","Niger",6.14,122,8.37875,6.41105736345335,5.62,7.04287768712072,6.33,110,8.519375,6.37665736345335,5.97,7.46021325747411
"113","Nigeria",6.1,125,7.36708333333333,6.95898318714254,7.03,2.35448795004769,5.93,124,7.52770833333333,6.93951652047587,6.7,2.04049164639352
"114","North Macedonia",7.68,59,8.20729166666667,7.35764444444444,7.17,9.20981312292359,7.67,47,8.24354166666667,7.34621111111111,7.16,9.36588455149502
"115","Norway",8.81,12,9.61125,9.84675,7.75,9.83156420927105,8.51,11,9.6075,9.83645833333333,7.58,9.83590391026773
"116","Oman",5.77,133,5.23833333333333,3.67923333333333,6.77,9.31563953488372,5.57,134,5.22708333333333,3.66776666666667,6.65,9.29831810631229
